Área,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Filtragem Germano,3.2782,3.3595,3.2874,3.0110,2.9248,2.9066,2.8221,2.9663,2.9147,2.9375,3.2801,3.1487
Mineração,1.4841,1.3743,1.4888,1.3200,1.3244,1.2736,1.2783,1.3435,1.2772,1.3301,1.4374,1.4264
Beneficiamento 1,0,0,0,0,0,0,0,0,0,0,0,0
Beneficiamento 2,42.3960,46.5314,44.0999,44.9572,43.5094,41.0419,39.6145,39.6261,40.7274,41.5504,48.3771,43.4219
Beneficiamento 3,42.2150,40.8065,40.9953,34.5747,33.6723,34.7750,33.9194,37.1240,35.1580,35.0976,37.9932,38.3801
Mineroduto 1,0,0,0,0,0,0,0,0,0,0,0,0
Mineroduto 2,0,0,0,0,0,0,0,0,0,0,0,0
Mineroduto 3,7.1051,7.1923,7.5586,7.1051,7.0579,7.1973,7.1268,7.1807,7.1051,7.1807,7.1429,7.1807
Preparação 1,0,0,0,0,0,0,0,0,0,0,0,0
Preparação 2,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77
Usina 1,0,0,0,0,0,0,0,0,0,0,0,0
Usina 2,0,0,0,0,0,0,0,0,0,0,0,0
Usina 3,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95
Usina 4,32.17,32.17,32.17,32.17,32.17,32.17,32.17,32.17,32.17,32.17,32.17,32.17
Estocagem,0.8688,0.8688,0.8688,0.8688,0.8688,0.8688,0.8688,0.8688,0.8688,0.8688,0.8688,0.8688